temporal_unit_key,canonical_actor_key,source_type,source_frame_index,timestamp_sec,previous_timestamp_sec,delta_t,valid_motion_pair,velocity_valid,vx_n_per_second,vy_n_per_second,speed_n_per_second,bbox_width_rate_per_second,bbox_height_rate_per_second,bbox_area_rate_per_second,bbox_aspect_ratio_rate_per_second,direction_valid,direction_change_valid,direction_change_rad,previous_velocity_sample_time,current_velocity_sample_time,acceleration_delta_t_sec,tangential_acceleration_valid,tangential_acceleration_value,vector_acceleration_valid,ax_n_per_second2,ay_n_per_second2,acceleration_vector_magnitude_n_per_second2,pair_failed_conditions,motion_schema_version
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,0,0.0,,,False,False,,,,,,,,False,False,,,,,False,,False,,,,previous_observation|same_temporal_unit|same_actor|previous_geometry|valid_delta_time,classification_v2.motion_tensor.v2
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,1,0.0333333333333332,0.0,0.0333333333333332,True,True,0.0005859374999994694,-0.017083333333335407,0.017093378850647236,0.017109374999996832,0.018333333333330277,0.004553564453121055,-0.0036941911077970216,True,False,,,0.0166666666666666,,False,,False,,,,,classification_v2.motion_tensor.v2
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,2,0.0666666666666665,0.0333333333333332,0.0333333333333333,True,True,0.010078124999998172,-0.01749999999999809,0.02019451914543947,0.019218750000000194,0.022500000000000044,0.005380299479168973,-0.02825603887158804,True,True,0.4882196865527155,0.0166666666666666,0.04999999999999985,0.03333333333333325,True,0.09303420884376727,True,0.28476562499996183,-0.01249999999988052,0.2850398413934724,,classification_v2.motion_tensor.v2
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,3,0.1,0.0666666666666665,0.033333333333333506,True,True,-0.02179687499999738,-0.004375000000005324,0.022231607786337846,0.011718750000000106,0.012916666666667952,0.003193264973960966,-0.006945511305695947,True,True,-1.8952166139362334,0.04999999999999985,0.08333333333333326,0.03333333333333341,True,0.061112659226951124,True,-0.9562499999998644,0.39374999999978205,1.0341436674851174,,classification_v2.motion_tensor.v2
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,4,0.1333333333333333,0.1,0.0333333333333333,True,True,0.01804687499999959,-0.008541666666666012,0.01996621563316503,-0.017343749999997066,-0.015416666666666927,-0.004256565755214052,-0.03657992783171919,True,True,2.5014438839261555,0.08333333333333326,0.11666666666666665,0.033333333333333395,True,-0.06796176459518435,True,1.195312499999907,-0.12499999999982041,1.2018306755346124,,classification_v2.motion_tensor.v2
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,5,0.1666666666666666,0.1333333333333333,0.0333333333333333,True,True,0.006093749999999127,0.018124999999998857,0.019121961564192307,-0.0009375000000003141,0.003749999999999591,0.0003473860677120914,-0.059940959039692716,True,True,1.6885258288677871,0.11666666666666665,0.14999999999999997,0.03333333333333331,True,-0.025327622069181693,True,-0.35859375000001414,0.7999999999999465,0.8766923505648873,,classification_v2.motion_tensor.v2
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,1002,33.4,,,False,False,,,,,,,,False,False,,,,,False,,False,,,,previous_observation|same_temporal_unit|same_actor|previous_geometry|valid_delta_time,classification_v2.motion_tensor.v2
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,1003,33.43333333333333,33.4,0.03333333333333144,True,True,-0.010546875000001,0.01583333333333471,0.019024484663457616,-0.0018750000000032309,-0.03833333333333934,-0.0047362239583352474,0.31970845578950285,True,False,,,33.416666666666664,,False,,False,,,,,classification_v2.motion_tensor.v2
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,1004,33.46666666666667,33.43333333333333,0.033333333333338544,True,True,0.03539062499999692,0.003541666666659339,0.0355673971590294,0.012187500000001333,-0.017083333333329336,-0.0001428580729170624,0.2975616676076044,True,True,-2.0586777727116994,33.416666666666664,33.45,0.033333333333338544,True,0.49628737486707597,True,1.3781249999997223,-0.3687500000002034,1.4266061398032692,,classification_v2.motion_tensor.v2
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,1005,33.5,33.46666666666667,0.03333333333333144,True,True,-0.009726562500000367,0.0077083333333409715,0.012410657550843505,0.024609374999998167,-0.006249999999996337,0.0029825195312522357,0.34701478726847784,True,True,2.3716980798348146,33.45,33.483333333333334,0.03333333333333144,True,-0.6947021882456164,True,-1.3535156249999956,0.1250000000004561,1.3592753757496097,,classification_v2.motion_tensor.v2
