temporal_unit_key,source_type,observed_frame_count,possible_pair_count,valid_pair_count,valid_pair_ratio,velocity_valid_count,velocity_coverage,direction_change_valid_count,direction_change_coverage,acceleration_valid_count,acceleration_coverage,mean_speed_valid,mean_tangential_acceleration_valid,mean_vector_acceleration_valid,motion_feature_available
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml,6,5,5,1.0,5,1.0,4,1.0,4,1.0,0.01972153659595638,0.015214370351588086,0.8494266337445224,True
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml,6,5,5,1.0,5,1.0,4,1.0,4,1.0,0.022430777376828623,-0.07051097517836527,1.2743049571747325,True
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1008,cvat_tracking_xml,6,5,5,1.0,5,1.0,4,1.0,4,1.0,0.01209573066609875,-0.00936846591298432,0.3296613635460655,True
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1014,cvat_tracking_xml,6,5,5,1.0,5,1.0,4,1.0,4,1.0,0.013446749638490102,-0.022101030408948258,0.5151578643491505,True
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=102,cvat_tracking_xml,6,5,5,1.0,5,1.0,4,1.0,4,1.0,0.044248938142147975,0.10030442077360438,1.2770033465046438,True
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1020,cvat_tracking_xml,6,5,5,1.0,5,1.0,4,1.0,4,1.0,0.009400673527937267,0.09911909805642154,0.3224045077150507,True
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1026,cvat_tracking_xml,6,5,5,1.0,5,1.0,4,1.0,4,1.0,0.010760282432046893,-0.038373513806973895,0.5347890796301306,True
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1032,cvat_tracking_xml,6,5,5,1.0,5,1.0,4,1.0,4,1.0,0.007927464751855035,0.11284405480739605,0.29804392729896106,True
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1038,cvat_tracking_xml,6,5,5,1.0,5,1.0,4,1.0,4,1.0,0.009121762264619696,0.05720495501770318,0.5021922508286036,True
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=4|pig=ID_4|anchor=90,cvat_tracking_xml,6,5,5,1.0,5,1.0,3,0.75,4,1.0,0.039272851611494866,0.37736620470926324,1.124015993212242,True
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001032|pig=ID_1|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.009728495607077685,-0.005162830297726846,0.0951414357067495,True
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001033|pig=ID_2|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.05546701241052459,-0.02931254383800557,0.5661594519842698,True
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001034|pig=ID_3|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.01695566985685353,0.008359764182095303,0.1855895711427107,True
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001035|pig=ID_4|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.013770487901083902,-0.0016612854331392818,0.1274762934762049,True
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001036|pig=ID_5|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.01220008630276878,-0.002056402467362741,0.08717443041410758,True
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001037|pig=ID_6|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.029829774750710004,-0.005653754957292746,0.2647273468667256,True
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001038|pig=ID_7|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.03234662799047304,-0.04283055327304398,0.29656012601653525,True
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001039|pig=ID_8|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.07341186408998614,-0.03323098814861638,0.7516925029140834,True
legacy_recovered|legacy_recovered_16f|pigs031219/000065|track=tracklet_00003769|pig=ID_1|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.045730133692655814,-0.0048611822098791535,0.39047098732645935,True
legacy_recovered|legacy_recovered_16f|pigs031219/000065|track=tracklet_00003770|pig=ID_2|legacy_sequence,legacy_recovered,16,15,15,1.0,15,1.0,14,1.0,14,1.0,0.031535127860932294,0.003512460261630718,0.22020456197553448,True
