temporal_unit_key,canonical_actor_key,source_type,video_key,source_frame_index,actor_geometry_valid,partner_candidate_count,nearest_partner_key,nearest_track_id,nearest_object_id,nearest_pig_id,nearest_distance_axis,nearest_distance_diagonal,distance_available,nearest_neighbor_available,nearest_tie_count,nearest_tie_break_rule,previous_partner_key,same_partner_as_previous,partner_switch,partner_continuity_valid,social_exclusion_reason
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,0,True,1,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,2,,ID_6,0.2924921287512015,0.24722368253231833,True,True,1,axis_distance_ascending_then_canonical_partner_key_ascending,,False,False,False,available
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,1,True,1,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,2,,ID_6,0.28895473049437553,0.24407382858486537,True,True,1,axis_distance_ascending_then_canonical_partner_key_ascending,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,True,False,True,available
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,2,True,1,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,2,,ID_6,0.2952934915550716,0.24995343501800424,True,True,1,axis_distance_ascending_then_canonical_partner_key_ascending,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,True,False,True,available
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,3,True,1,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,2,,ID_6,0.295993056636221,0.2504458103141911,True,True,1,axis_distance_ascending_then_canonical_partner_key_ascending,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,True,False,True,available
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,4,True,1,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,2,,ID_6,0.2971174665922242,0.25155216344854875,True,True,1,axis_distance_ascending_then_canonical_partner_key_ascending,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,True,False,True,available
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,5,True,1,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,2,,ID_6,0.29830230271940084,0.2524163861856481,True,True,1,axis_distance_ascending_then_canonical_partner_key_ascending,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6,True,False,True,available
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,1002,True,0,,,,,,,False,False,0,axis_distance_ascending_then_canonical_partner_key_ascending,,False,False,False,no_valid_neighbor
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,1003,True,0,,,,,,,False,False,0,axis_distance_ascending_then_canonical_partner_key_ascending,,False,False,False,no_valid_neighbor
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,1004,True,0,,,,,,,False,False,0,axis_distance_ascending_then_canonical_partner_key_ascending,,False,False,False,no_valid_neighbor
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8,cvat_tracking_xml,Pigs281119_000085_30fps,1005,True,0,,,,,,,False,False,0,axis_distance_ascending_then_canonical_partner_key_ascending,,False,False,False,no_valid_neighbor
