review_unit_id,linked_audit_item_ids,video_id,video_path,video_sha256,primary_method_id,prediction_path,prediction_sha256,GT_path,GT_sha256,anchor_frame,event_start_frame,event_end_frame,context_start_frame,context_end_frame,FPS,context_seconds_before,context_seconds_after,episode_id,GT_identity,predicted_identity,Hidden_status,error_category,selection_reasons,metric_contributions,review_priority,source_item_count,source_manifest_sha256
GT-AUDIT-0001,AUDIT-0037,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,bytetrack_raw,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\frozen_predictions_standard_v2_20260728_retry1\B0_bytetrack_raw\predictions\Pigs281119_000085_30fps.xml,2dd250f947de3c4016c11382e72e8e24ab1c1748d65e4435e41bb3049c168812,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,58,58,58,0,148,30.0,3,3,identity-episode-v2-093a0fc76e2d2b731788,ID_3,ID_2,NO_OR_UNKNOWN,WRONG_IDENTITY_MATCH,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,one wrong-ID animal-frame,NORMAL,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
GT-AUDIT-0002,AUDIT-0038,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,bytetrack_raw,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\frozen_predictions_standard_v2_20260728_retry1\B0_bytetrack_raw\predictions\Pigs281119_000085_30fps.xml,2dd250f947de3c4016c11382e72e8e24ab1c1748d65e4435e41bb3049c168812,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,58,58,58,0,148,30.0,3,3,identity-episode-v2-45f6f1ced14af663d91b,ID_4,ID_1,NO_OR_UNKNOWN,WRONG_IDENTITY_MATCH,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,one wrong-ID animal-frame,NORMAL,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
GT-AUDIT-0003,AUDIT-0051,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,bytetrack_raw,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\frozen_predictions_standard_v2_20260728_retry1\B0_bytetrack_raw\predictions\Pigs281119_000085_30fps.xml,2dd250f947de3c4016c11382e72e8e24ab1c1748d65e4435e41bb3049c168812,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,928,58,1799,0,1799,30.0,3,3,pairwise-swap-v2-0a3bf2bc6f9edd21697e,"('ID_3', 'ID_4')",RECIPROCAL_PAIRWISE_SWAP,MIXED_OR_UNKNOWN,PERSISTENT_PAIRWISE_SWAP,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,one persistent pairwise swap event,NORMAL,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
GT-AUDIT-0004,AUDIT-0074,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,bytetrack_raw,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\frozen_predictions_standard_v2_20260728_retry1\B0_bytetrack_raw\predictions\Pigs281119_000085_30fps.xml,2dd250f947de3c4016c11382e72e8e24ab1c1748d65e4435e41bb3049c168812,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,924,924,924,834,1014,30.0,3,3,NOT_APPLICABLE,ID_6,ID_6,YES,HIDDEN_POLICY_SENSITIVITY_REFERENCE,HIDDEN_STATUS_MATERIALLY_CHANGES_ELIGIBILITY,population membership changes by policy,NORMAL,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
GT-AUDIT-0005,AUDIT-0085,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,hybrid_bytetrack,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\historical_h5b_h4_frozen_predictions_20260728\predictions\Pigs281119_000085_30fps.xml,691c1da76bec0168a303ee0482a6132f4477d57d91e91c97f875a1f56ea25073,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,924,924,924,834,1014,30.0,3,3,NOT_APPLICABLE,ID_6,ID_6,YES,HIDDEN_POLICY_SENSITIVITY_REFERENCE,HIDDEN_STATUS_MATERIALLY_CHANGES_ELIGIBILITY,population membership changes by policy,HIGH,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
GT-AUDIT-0006,AUDIT-0025,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,realtime_fast,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\reconciliation_state8_development_20260729_run2\predictions\realtime_fast\Pigs281119_000085_30fps.xml,0f1cb5ba23b754a4c36d83e3f1a175e92d53ef3c1e937a505fc9e470103ca1c8,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,63,63,63,0,153,30.0,3,3,identity-episode-v2-9cf943633e349bdb8fe2,ID_3,ID_2,NO_OR_UNKNOWN,TERMINAL_IDENTITY_EPISODE,ALL_REALTIME_FAST_TERMINAL_EPISODES,one wrong-ID animal-frame,NORMAL,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
GT-AUDIT-0007,AUDIT-0026,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,realtime_fast,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\reconciliation_state8_development_20260729_run2\predictions\realtime_fast\Pigs281119_000085_30fps.xml,0f1cb5ba23b754a4c36d83e3f1a175e92d53ef3c1e937a505fc9e470103ca1c8,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,64,64,64,0,154,30.0,3,3,identity-episode-v2-e5fac907a9d0588a05e8,ID_4,ID_1,NO_OR_UNKNOWN,TERMINAL_IDENTITY_EPISODE,ALL_REALTIME_FAST_TERMINAL_EPISODES,one wrong-ID animal-frame,NORMAL,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
GT-AUDIT-0008,AUDIT-0061,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,realtime_fast,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\reconciliation_state8_development_20260729_run2\predictions\realtime_fast\Pigs281119_000085_30fps.xml,0f1cb5ba23b754a4c36d83e3f1a175e92d53ef3c1e937a505fc9e470103ca1c8,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,931,64,1799,0,1799,30.0,3,3,pairwise-swap-v2-9dd07847eca05370a19d,"('ID_3', 'ID_4')",RECIPROCAL_PAIRWISE_SWAP,MIXED_OR_UNKNOWN,PERSISTENT_PAIRWISE_SWAP,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,one persistent pairwise swap event,NORMAL,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
GT-AUDIT-0009,AUDIT-0096,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,realtime_fast,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\reconciliation_state8_development_20260729_run2\predictions\realtime_fast\Pigs281119_000085_30fps.xml,0f1cb5ba23b754a4c36d83e3f1a175e92d53ef3c1e937a505fc9e470103ca1c8,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,924,924,924,834,1014,30.0,3,3,NOT_APPLICABLE,ID_6,ID_6,YES,HIDDEN_POLICY_SENSITIVITY_REFERENCE,HIDDEN_STATUS_MATERIALLY_CHANGES_ELIGIBILITY,population membership changes by policy,NORMAL,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
GT-AUDIT-0010,AUDIT-0068,Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,8dc95b9263c481d0ec3eb6e2ac96d821410e6331caadc950bd859a42f846b5fb,rf_hybrid,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\reconciliation_state8_development_20260729_run2\predictions\rf_hybrid\Pigs281119_000085_30fps.xml,f3c96d881a344d4b74615c786066056ebe3e1a361eb246a08e57198a90c0aaa1,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\annotations\tracking\Pigs281119_000085_30fps.xml,3a6bc2b28dd2e4f831ef59d7543e1a523bb9cfd2415741bb91506f74709bd697,930,62,1799,0,1799,30.0,3,3,pairwise-swap-v2-2440d4d2813ab37c7a22,"('ID_3', 'ID_4')",RECIPROCAL_PAIRWISE_SWAP,MIXED_OR_UNKNOWN,PERSISTENT_PAIRWISE_SWAP,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,one persistent pairwise swap event,NORMAL,1,bf1578d69af61b8cddc198b84b6652c582c75a43384abbc9eb8b7cb71287707d
