video,episode_id,mechanism,start_frame,end_frame,frames_modified,tracks_modified,original_realtime_identity,rf_hybrid_identity,wrong_identity_frames_before,wrong_identity_frames_after,IDSW_before,IDSW_after,terminal_episode_before,terminal_episode_after,first_harmful_frame,harmful_persistence_frames,repair_scope_end,identity_recovery_frame,outcome
Pigs281119_000085_30fps,92ae3dcd7029da35f6ed0defe14688b7c3cca6ebb39b77b6c504d37ecadf57aa,TEMPORAL_BBOX_REFINEMENT,22,36,15,1,ID_1,ID_1,0,0,0,0,False,False,22,1,36,,AMBIGUOUS
Pigs281119_000085_30fps,18462dcb134693aa3370818b0bed9bdc8a44fe02fb10d42c012a8813f7d9c7c2,TEMPORAL_BBOX_REFINEMENT,41,55,15,1,ID_1,ID_1,0,0,0,0,False,False,,0,55,,BENEFICIAL
Pigs281119_000085_30fps,26107c6846ae92a1b8dab117f17dc2826129f83af49557ff6240c9bf2cecca8d,TEMPORAL_BBOX_REFINEMENT,60,63,4,1,ID_1,ID_1,0,2,0,0,True,True,60,1,63,,HARMFUL
Pigs281119_000085_30fps,c44b1ec28beba98a3e0ffabc049dbc6c2d3d56c01c0bdd5e0e3c7ecde88e86fb,TEMPORAL_BBOX_REFINEMENT,676,677,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,677,,BENEFICIAL
Pigs281119_000085_30fps,704ca52c51e552b25951387c4fdafbbf9f30bf4fba3265b3a68b22dad9487a11,TEMPORAL_BBOX_REFINEMENT,1188,1189,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,1189,,BENEFICIAL
Pigs281119_000085_30fps,af711272448fea02bf5d13d06be89dc231fcd53efcfcb8c524b2f59899504560,TEMPORAL_BBOX_REFINEMENT,1192,1193,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,1193,,BENEFICIAL
Pigs281119_000085_30fps,332c0833ccad20c471a63b9ef7455f5b5624ebbf4716025b418743e3fdb34be8,TEMPORAL_BBOX_REFINEMENT,722,723,2,1,ID_5,ID_5,0,0,0,0,False,False,722,1,723,,HARMFUL
Pigs281119_000085_30fps,962264b733c778125e2e884fab854cae8aa5bd7a52509aa18625728f74358c16,TEMPORAL_BBOX_REFINEMENT,730,731,2,1,ID_5,ID_5,0,0,0,0,False,False,731,1,731,,NEUTRAL
Pigs281119_000085_30fps,da4cdb2073413b284abe15f67035941f0c81d7913c01d146c1aa88a7f7815ad3,TEMPORAL_BBOX_REFINEMENT,1792,1793,2,1,ID_5,ID_5,0,0,0,0,False,False,1792,1,1793,,HARMFUL
Pigs281119_000085_30fps,2f66aa8530958ad1be6e010cb08e1175412034aba0a99a0da378718265f7f886,TEMPORAL_BBOX_REFINEMENT,998,999,2,1,ID_6,ID_6,0,0,0,0,False,False,,0,999,,BENEFICIAL
Pigs281119_000085_30fps,99989264d3045f0ef76d689a3831b35ffc3a658c67a09bfa1305c5045689ff15,TEMPORAL_BBOX_REFINEMENT,1004,1005,2,1,ID_6,ID_6,0,0,0,0,False,False,,0,1005,,BENEFICIAL
Pigs281119_000085_30fps,65d17ec43be495416ae0592ee732e1d9e9c3c221f2a9e31fa11d25b5f01215f6,TEMPORAL_BBOX_REFINEMENT,1440,1443,4,1,ID_6,ID_6,0,0,0,0,False,False,,0,1443,,BENEFICIAL
Pigs281119_000085_30fps,424f4ff1898b118d8ec3ee810381848ddb2efae6955e9c0e0226909f4b13ffa0,TEMPORAL_BBOX_REFINEMENT,1670,1671,2,1,ID_6,ID_6,0,0,0,0,False,False,1670,1,1671,,NEUTRAL
Pigs281119_000085_30fps,0414de8d731e5aab4b80954ec5aaa9cdd35d9a408a20a4dde189b711bb70c3fc,OVERLAP_SMALL_BOX_SUPPRESSION,30,31,2,1,ID_1,ID_1,0,0,0,0,False,False,,0,31,,AMBIGUOUS
Pigs281119_000085_30fps,8b70feb0e87bfa1bc6cdc9075b15d19d56c911b1dc668f93def31ad199026358,OVERLAP_SMALL_BOX_SUPPRESSION,34,35,2,1,ID_1,ID_1,0,0,0,0,False,False,,0,35,,AMBIGUOUS
Pigs281119_000114_30fps,af31273f0f5d7bcc84125d14b0faf10c044e3c96b72e35f103dbbef559f743e7,TEMPORAL_BBOX_REFINEMENT,290,293,4,1,ID_1,ID_1,0,0,0,0,False,False,,0,293,,BENEFICIAL
Pigs281119_000114_30fps,fffbfa1b2d87255de443272b760d3eaf2655f1a1cef8c2407c7eb452d552d814,TEMPORAL_BBOX_REFINEMENT,984,985,2,1,ID_1,ID_1,0,0,0,0,False,False,,0,985,,BENEFICIAL
Pigs281119_000114_30fps,757741ecc68a32921ec33d25a3e7bb303861075f62263f70442ca31d90bc0d18,TEMPORAL_BBOX_REFINEMENT,950,953,4,1,ID_2,ID_2,0,0,0,0,False,False,,0,953,,BENEFICIAL
Pigs281119_000114_30fps,707c369f979bb869f736848baf4967b8084db063664112547a69ca3e934d046d,TEMPORAL_BBOX_REFINEMENT,970,971,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,971,,BENEFICIAL
Pigs281119_000114_30fps,657f876d5c37f64dc53596b7d963a9ea02e9896845840ecf5f9e78d41eacdbff,TEMPORAL_BBOX_REFINEMENT,272,273,2,1,ID_4,ID_4,0,0,0,0,False,False,,0,273,,BENEFICIAL
Pigs281119_000114_30fps,e9d79c3dc53da84ffa05994f7f07e77435cf877ed12796a8febee3706dbbc476,TEMPORAL_BBOX_REFINEMENT,820,821,2,1,ID_6,ID_6,0,0,0,0,False,False,,0,821,,BENEFICIAL
Pigs281119_000114_30fps,cfd0b4ec35a8d3f5a953f7bf4391fce60ea89d05070c1a908ca61034028368c4,TEMPORAL_BBOX_REFINEMENT,946,947,2,1,ID_6,ID_6,0,0,0,0,False,False,,0,947,,BENEFICIAL
Pigs281119_000114_30fps,cf78f306cdaef616e0ee71dc4cca2d601995f12dd9490d5521bbc70fbf75400b,TEMPORAL_BBOX_REFINEMENT,1058,1072,15,1,ID_6,ID_6,0,0,0,0,False,False,1059,1,1072,,NEUTRAL
Pigs281119_000114_30fps,8f2f86da2c0dd900e3f1b512d0987355cee6874db5f5fe82a7b57f77e95352e8,TEMPORAL_BBOX_REFINEMENT,1089,1103,15,1,ID_6,ID_6,0,0,0,0,False,False,1090,1,1103,,NEUTRAL
Pigs281119_000114_30fps,5993e66e5bbf2819190e947147a96a8e1078b73ce5c2007e89851798f6aece1b,TEMPORAL_BBOX_REFINEMENT,1138,1139,2,1,ID_6,ID_6,0,0,0,0,False,False,,0,1139,,BENEFICIAL
Pigs281119_000114_30fps,01f8eac2f4d57a518fa8a2d6964e7aa7d296e0bb74188fb5142acf1789a0c5e8,TEMPORAL_BBOX_REFINEMENT,1314,1319,6,1,ID_6,ID_6,0,0,0,0,False,False,1314,1,1319,,NEUTRAL
Pigs281119_000114_30fps,fd2e9095fa0b11174a6274840aa3f435e227241bc7c603a099f1b828788366c6,TEMPORAL_BBOX_REFINEMENT,1322,1325,4,1,ID_6,ID_6,0,0,0,0,False,False,,0,1325,,BENEFICIAL
Pigs281119_000114_30fps,f2574a6d330f6413308a4e0574df88ca84574784e42bb849052d6e30ccf4edf6,TEMPORAL_BBOX_REFINEMENT,422,423,2,1,ID_7,ID_7,0,0,0,0,False,False,,0,423,,BENEFICIAL
Pigs281119_000114_30fps,8f1005ef0378b6063738fa76536c87a5dd2e919ed17b70d61eedd688b17496e0,TEMPORAL_BBOX_REFINEMENT,742,745,4,1,ID_8,ID_8,0,0,0,0,False,False,,0,745,,BENEFICIAL
Pigs281119_000114_30fps,7b3d78e59262f192e5972dfff5543ff7cede6b30309799714ee0f0805616afd6,TEMPORAL_BBOX_REFINEMENT,1334,1335,2,1,ID_8,ID_8,0,0,0,0,False,False,,0,1335,,BENEFICIAL
Pigs281119_000114_30fps,64b0f8c6802abc419de2ebabf853143f2870f0749aed0734087899bcf87b293e,OVERLAP_SMALL_BOX_SUPPRESSION,732,733,2,1,ID_8,ID_8,0,0,0,0,False,False,,0,733,,NEUTRAL
Pigs281119_000114_30fps,e8e330f2e346d15b14ab9c8b6e3896d4ba031f39514f4670034428dbfc8c369a,OVERLAP_SMALL_BOX_SUPPRESSION,746,747,2,1,ID_8,ID_8,0,0,0,0,False,False,,0,747,,NEUTRAL
Pigs291119_000216_30fps,b937fc6297b93c882d80c5a5e6d05d2086d8476734ddc6667cbda1bb7c4c15f4,TEMPORAL_BBOX_REFINEMENT,168,171,4,1,ID_1,ID_1,0,2,0,2,True,True,168,1,171,,HARMFUL
Pigs291119_000216_30fps,09d06cf72546e74353580b649d3f6030a87adddde6fa6b54ac90c44fb2fb81e0,TEMPORAL_BBOX_REFINEMENT,220,221,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,221,,BENEFICIAL
Pigs291119_000216_30fps,949fb1c1c025eed8d6f141024bc6d9143b3c6314df1eb715fd8d0c69bc7bd4b1,TEMPORAL_BBOX_REFINEMENT,578,581,4,1,ID_3,ID_3,0,0,0,0,False,False,580,1,581,,NEUTRAL
Pigs291119_000216_30fps,b2fdca9b8648292211c21e4ad832c75ef82fa6239b28742338cabf858042f95c,TEMPORAL_BBOX_REFINEMENT,608,613,6,1,ID_3,ID_3,0,0,0,0,False,False,,0,613,,BENEFICIAL
Pigs291119_000216_30fps,5dd606eefb068895b7fb597b99ee2ff9cf98949bba504819bb9bbe9d63b137b3,TEMPORAL_BBOX_REFINEMENT,616,617,2,1,ID_3,ID_3,0,0,0,0,False,False,616,1,617,,HARMFUL
Pigs291119_000216_30fps,e865cab9ef18c26e9c142c8eed554cd9c6de56e99e5dfcb4ba459ec1ee86a0da,TEMPORAL_BBOX_REFINEMENT,826,827,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,827,,BENEFICIAL
Pigs291119_000216_30fps,404590edf7af1cdfd65619c9d408b9a8cc0af7618fb646f13b24c6565e0b5ff3,TEMPORAL_BBOX_REFINEMENT,934,935,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,935,,BENEFICIAL
Pigs291119_000216_30fps,3cd97a6826ccbd18ea916a9c0cf5739fff4c819002bd11f3738d6913966df141,TEMPORAL_BBOX_REFINEMENT,944,953,10,1,ID_3,ID_3,0,0,0,0,False,False,951,1,953,,NEUTRAL
Pigs291119_000216_30fps,e39bd2ad863c23c253ed59cec77fd72ef3b49280c594064c8f84f9de342f6235,TEMPORAL_BBOX_REFINEMENT,1230,1233,4,1,ID_3,ID_3,0,0,0,0,False,False,,0,1233,,BENEFICIAL
Pigs291119_000216_30fps,aff286e4d4276c51c3f0ab8a1670599cf84971f01ef008422c3edac2c4de8aca,TEMPORAL_BBOX_REFINEMENT,1288,1289,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,1289,,BENEFICIAL
Pigs291119_000216_30fps,ae1a4e61f795284d1a06d50026e85bc435c20e7a6a1f15ac4690cde13aeeb035,TEMPORAL_BBOX_REFINEMENT,1394,1397,4,1,ID_3,ID_3,0,0,0,0,False,False,1394,1,1397,,NEUTRAL
Pigs291119_000216_30fps,a1ed5dc65bc23944f911ab2a7d699fcf07f9abbb5d59bf1859cd0b683d239453,TEMPORAL_BBOX_REFINEMENT,1400,1401,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,1401,,BENEFICIAL
Pigs291119_000216_30fps,feef20531dad60f000e53f535a44457f063710a28db8cb58b22fc610f1bbf4a0,TEMPORAL_BBOX_REFINEMENT,1406,1407,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,1407,,BENEFICIAL
Pigs291119_000216_30fps,bdb01e90a5fc578e5397882f4f069b73656863e955ec56c67f55477ece1a9b6d,TEMPORAL_BBOX_REFINEMENT,1786,1787,2,1,ID_3,ID_3,0,0,0,0,False,False,,0,1787,,BENEFICIAL
Pigs291119_000216_30fps,9d9002b948e83c8c8deadccc3882d6bba274b78a217733dc79b55f0585580f01,TEMPORAL_BBOX_REFINEMENT,32,33,2,1,ID_4,ID_4,0,0,0,0,False,False,,0,33,,BENEFICIAL
Pigs291119_000216_30fps,88cb8b0b8ce54c7c98361bee2569342c87cd463dfce91204f3ff630afe1cc2d3,TEMPORAL_BBOX_REFINEMENT,1478,1481,4,1,ID_4,ID_4,0,0,0,0,False,False,,0,1481,,BENEFICIAL
Pigs291119_000216_30fps,550db7625ccb48d387ac9870329e886909cb639873de1366f0cf706af315eb5d,TEMPORAL_BBOX_REFINEMENT,364,365,2,1,ID_5,ID_5,2,2,0,0,True,True,,0,365,,NEUTRAL
Pigs291119_000216_30fps,e2690b27cfe99afcc94f454abe4ab7289a28e62057aef0058bd0e5e11060a782,TEMPORAL_BBOX_REFINEMENT,1138,1139,2,1,ID_5,ID_5,2,2,0,0,True,True,,0,1139,,NEUTRAL
Pigs291119_000216_30fps,e0f2ddb8ffc4df4590a8651d600470b6e3c89965851b359484ab35bcd22dd9b3,TEMPORAL_BBOX_REFINEMENT,1656,1657,2,1,ID_5,ID_5,2,2,0,0,True,True,,0,1657,,NEUTRAL
Pigs291119_000216_30fps,adaed0bafbb7d52cfe432a47b97a6174514f7ced0acea024e58239c4650b758e,TEMPORAL_BBOX_REFINEMENT,1686,1687,2,1,ID_5,ID_5,2,2,0,0,True,True,,0,1687,,NEUTRAL
Pigs291119_000216_30fps,942987b54b4ebcfc7cc8a8a58f31d0c15757ee8693644630130008751003f388,TEMPORAL_BBOX_REFINEMENT,1692,1695,4,1,ID_5,ID_5,4,4,0,0,True,True,,0,1695,,NEUTRAL
Pigs291119_000216_30fps,7be15a0ea8d7486cfc3effcfa491c7ac2ab49348ab827abbdc7172e7b16cdb19,TEMPORAL_BBOX_REFINEMENT,1752,1753,2,1,ID_5,ID_5,2,2,0,0,True,True,,0,1753,,NEUTRAL
Pigs291119_000216_30fps,e31821cffbaab0e4cd261a6b190e45daddc66a83c931e3ff780e64120a14646a,TEMPORAL_BBOX_REFINEMENT,66,69,4,1,ID_7,ID_7,0,0,0,0,False,False,67,1,69,,NEUTRAL
Pigs291119_000216_30fps,0effc0bed325b99a0346f46ad2919b5f7dde4f2eb659073814e7b6e837d5fc78,TEMPORAL_BBOX_REFINEMENT,72,77,6,1,ID_7,ID_7,0,0,0,0,False,False,76,1,77,,NEUTRAL
Pigs291119_000216_30fps,9f6d8ccf191419d88ee8f5914dbd606130ab775bcdc8f4e54f5c6a8d5e288969,TEMPORAL_BBOX_REFINEMENT,122,123,2,1,ID_7,ID_7,0,0,0,0,False,False,122,1,123,,HARMFUL
Pigs291119_000216_30fps,dfbc3a54c956ec530dabb9847a03e6ff81e170653e32e28f2b78d8969300d63d,TEMPORAL_BBOX_REFINEMENT,272,273,2,1,ID_7,ID_7,0,0,0,0,False,False,,0,273,,BENEFICIAL
Pigs291119_000216_30fps,883d4e99fc2065c7def9713eb29619e1909e8e0ab8d9ccde8ea0bcaee239efd1,TEMPORAL_BBOX_REFINEMENT,1460,1463,4,1,ID_7,ID_7,0,0,0,0,False,False,,0,1463,,BENEFICIAL
Pigs291119_000216_30fps,4ad9468e2fd9b3188d15ff42e296c5084e6e36f997a3125480f078b586b77534,TEMPORAL_BBOX_REFINEMENT,1576,1583,8,1,ID_7,ID_7,0,0,0,0,False,False,1576,1,1583,,NEUTRAL
Pigs291119_000216_30fps,507bbe0e28c289b9e012252a92c117360901acdfcac65b33ebbaed41730b83f7,TEMPORAL_BBOX_REFINEMENT,1586,1589,4,1,ID_7,ID_7,0,0,0,0,False,False,,0,1589,,BENEFICIAL
Pigs291119_000216_30fps,ac54e12386cd79830e1594604d880db9c850b60606d1b016d1e679b06314182e,TEMPORAL_BBOX_REFINEMENT,1600,1609,10,1,ID_7,ID_7,0,0,0,0,False,False,1600,1,1609,,NEUTRAL
Pigs291119_000216_30fps,881e5a5c93973d746dd4dd212e396f5cd5ac422be055d089568f96f2bfd908a7,TEMPORAL_BBOX_REFINEMENT,1618,1619,2,1,ID_7,ID_7,0,0,0,0,False,False,1618,1,1619,,HARMFUL
Pigs291119_000216_30fps,a46e79b032deefe7f5b9d7876d4dbeab621a1d7b15988306df4b3aec2fc0ea72,TEMPORAL_BBOX_REFINEMENT,726,747,22,1,ID_8,ID_8,0,0,0,0,False,False,727,1,747,,NEUTRAL
Pigs291119_000216_30fps,0db7c5f7949277ab530c6ecaa22d6f7f491312f17f84118be4a962e9732e643f,TEMPORAL_BBOX_REFINEMENT,1090,1091,2,1,ID_8,ID_8,0,0,0,0,False,False,1090,1,1091,,HARMFUL
Pigs291119_000216_30fps,0f13e8a7c9dd2f4f967a8dcd199ceca6ef7183e872ee6b147bbfc86f234eedfc,TEMPORAL_BBOX_REFINEMENT,1096,1097,2,1,ID_8,ID_8,0,0,0,0,False,False,,0,1097,,BENEFICIAL
